id,tweet_text,gold,time_will_tell,distrust_experts,too_fast_early_dev,natural_traditional_is_better,liberty_freedom,hidden_motives,scapegoat,defend_the_weak,wicked_fairness,none,source
2106,"Vote @UKIP where you can for Brexit and beyond:Clean-break BrexitCut net immigration to 10,000Abolish overseas aid budgetBeef up our armed forcesMake the UK self-sufficient in skillsFree market economyScrap the TV licenceSupport free speechEnd political correctness",none,0,0,0,0,1,0,0,0,0,0,immigration
2107,UKIP stands for far more than just Brexit:- End mass immigration- Invest in our NHS rather than foreign aid- Scrap the TV Licence Fee- Ban Non-Stun Slaughter- Defend Free SpeechRead our manifesto to find out more: #GE2019,none,0,0,0,0,1,0,0,0,0,0,immigration
2108,Complete and total withdrawal from the European Union.UKIP stands for:-no more money to the EU-no more EU laws-no more being under the European Court-no more open border EU immigration#GE2019,none,0,0,0,0,0,0,0,0,0,1,immigration
2109,"Asking for proper management of immigration is not dog-whistling, it's a function of any normal government. Jo Swinson: PM's 'dog-whistle' tactics putting EU citizens at risk",none,0,0,0,0,0,0,0,0,0,1,immigration
2110,"A town the size of Oldham every year. More than one Rochester a year. UK net immigration is out of control. UKIP wants to end mass immigration and reduce the figure to below 10,000 net a year.#GE2019Common sense ideas for Brexit and Beyond.",premise,0,0,0,0,0,0,0,0,0,1,immigration
2111,"Four towns the size of Bognor Regis, virtually another Southampton every year. Immigration is out of control.Looking to Brexit and beyond... #GeneralElection2019",premise,1,0,0,0,0,0,0,0,0,0,immigration
2112,"Rescind the Barcelona Declaration (1995) and the Marrakesh Declaration (2018) that pave the way for more uncontrolled immigration from Africa, the Middle East and beyond. #GeneralElection2019",none,0,0,0,0,0,0,0,0,0,1,immigration
2113,"We need a Migration Control Department to oversee immigration, border control and the repatriation of illegal immigrants. #GeneralElection2019",none,0,0,0,0,0,0,0,0,0,1,immigration
2114,"UKIP believes the age of uncontrolled mass-immigration must end. No more than 10,000 people net a year is enough!To Brexit and Beyond.., #GeneralElection2019",conclusion,0,0,0,0,0,0,0,0,0,1,immigration
2115,"End mass immigration. UKIP wants net migration down to below 10,000 a year. Temporary immigration for workers and students should be time-limited and strictly controlled. No asylum for migrants entering illegally from a safe country.#GeneralElection2019",conclusion,0,0,0,0,0,0,0,0,0,1,immigration
2116,UKIP's @davidkurten talking immigration and the future of UKIP on LBC with Iain Dale,none,0,0,0,0,0,0,0,0,0,1,immigration
2117,.@UKLabour have completely abandoned the working class of this country. Let's be clear a vote for #labour is a vote for:1 Open borders 2 Depressed wages 3 Votes for migrants 4 An NHS which is open to the entire world.,conclusion,0,1,0,0,0,0,0,0,0,0,immigration
2118,".@UKIP is the party of Brexit and beyond. We oppose Remainers of all other parties. We stand for free speech, free markets, low immigration, protecting the countryside from rampant 'development', and an end to gender confusion lessons in schools.",premise,0,1,0,0,1,0,0,1,0,0,immigration
2119,"If Labour wins with its radical pro-immigration policy (voted for at conference), Britain will effectively become an Open-Border nation.Labour activists call on Corbyn to push radical stance on migration",premise,1,0,0,0,0,0,0,0,0,0,immigration
2120,"The #Labour Party harp on about diversity, but look at the reaction when I dare to mention the 'white working class'... #UKIP #WorkingClassVoice #Immigration",conclusion,0,0,0,0,1,1,0,0,0,0,immigration
2121,Boris's 1st Queen's speech:ID checks during voting.Australian-style points system for immigration.Longer sentences for violent crime.End leniency for foreign criminals and migrant crime.Improve animal welfare.Someone has been reading the @UKIP manifesto..Good job Boris!,premise,0,0,0,0,0,0,0,0,0,1,immigration
2122,EU member states are enraged as the new EU Commission President demands a huge hike in membership fees to pay for climate alarmism and increased immigration under the Barcelona/Marrakesh declarations. The UK is way better off out of this shower.,premise,0,0,0,0,0,0,0,0,0,1,immigration
2123,"Why does the ""No Deal"" plan seem almost exactly like the ""May Deal"" plan? Travel, trade, phone bills and immigration: no-deal Brexit plan explained",none,0,0,0,0,0,0,0,0,0,1,immigration
2124,Destroying the British countryside is NOT a solution to the housing crisis. The first step in fixing it must be to get immigration under proper control. Corbyn's housing disaster: Plan will cost taxpayers BILLIONS and send prices soaring,premise,1,1,0,0,0,0,0,0,0,0,immigration
2125,WATCH my speech on Education at this year's @UKIP conference. The UK needs to end mass immigration and become self-sufficient in skills.,premise,0,0,0,0,0,0,0,0,0,1,immigration
2126,Who remembers this? Welsh Labour cannot be trusted on immigration. #UKIP say NO to mass uncontrolled immigration,none,0,1,0,0,0,0,0,0,0,0,immigration
2127,"Labour wants open borders and every migrant is to get a vote equal to a citizens.Never has it been more blatant, mass immigration is Labour importing votes.",premise,0,1,0,0,0,0,0,0,0,0,immigration
2128,Bad decision Labour. Labour backs free movement after Brexit and giving all immigrants the vote,none,0,1,0,0,0,0,0,0,0,0,immigration
2129,BXP and Tory's should not endorse mass migration.UKIP has always been very clear in its policy on mass immigration.,conclusion,0,0,0,0,0,0,0,0,0,1,immigration
2130,"Across the UK, young girls are having their genitals mutilated there has been only ONE successful prosecution since FGM was criminalised in 1985.FGM clinics are an admission in the abject failure of mass immigration and multiculturalism.",conclusion,0,1,0,0,0,0,0,1,0,0,immigration
2131,UKIP Leader @richardbraine on how to change things and mass migration.,none,0,0,0,0,0,0,0,0,0,1,immigration
2132,The #Labour party has utterly abandoned any claim to represent ordinary people in this country. A party that supports mass immigration to depress wages and expand its migrant voter base.Bring on a General Election! #GeneralElection2019,premise,0,1,0,0,0,0,0,0,0,0,immigration
2133,UKIP Leader @richardbraine on immigration,none,0,0,0,0,0,0,0,0,0,1,immigration
2134,@GoffVinny I think you missed the point Vinny. The video refers to criminalising speech that criticises migration.,none,0,0,0,0,1,0,0,0,0,0,immigration
2135,"@andyrossecon @DavidPoulden And what does UKIP's level of support have to do with the EU attempting to criminalise criticism of mass-immigration? If it's bad law, it's bad law, regardless of who points it out.",none,0,1,0,0,1,0,0,0,0,0,immigration
2136,"we want to criminalise migration speech, criticism of migration will become a criminal offenceThis is where we are. Time to make a change and start being a real nation again.",premise,0,0,0,0,1,0,0,0,0,0,immigration
2137,"Dublin Reforms = Shared Burden of mass-migration - Forcing countries to take their ""fair share"". New EU boss to rip-up cornerstone of EU - Von der Leyen wants Dublin reforms",conclusion,0,0,0,0,0,1,0,0,0,0,immigration
2138,Pure madness. Not enough migrants arriving to keep pay down - Central Bank,premise,0,0,0,0,0,0,0,0,0,1,immigration
2139,Is giving away a MILLION passports to illegal migrants really in our national interest? @BorisJohnson must think again.Please sign and RT.,premise,0,1,0,0,0,1,0,0,0,0,immigration
2140,Well worth a read. An amnesty for illegal migrants?,none,0,0,0,0,0,0,0,0,0,1,immigration
2141,"What's this? Another UKIP policy ""adopted"" by the Tories? I will shake up immigration, says PRITI PATEL via @MailOnline",none,0,1,0,0,0,0,0,0,0,0,immigration
2142,Interesting numbers. Although it appears that the migration flow is all one way. Not a sustainable system. Who acquired citizenship in the EU in 2017?,conclusion,1,0,0,0,0,0,0,0,0,0,immigration
2143,Johnson Refuses to Commit to Lowering Immigration via @BreitbartNews,none,0,0,0,0,0,0,0,0,0,1,immigration
2144,"Mass immigration aded 258,000 people to the UK population in 2018, with no signs of a reduction this year. These people will all require medical treatment at some point. The #NHS simply cannot cope with these pressures.",conclusion,1,0,0,0,0,0,0,0,0,0,immigration
2145,This is idiotic - Will he force people to stay in one area once they get a visa? Sajid Javid eyes new regional migrant rules for skilled workers after Brexit,none,0,0,0,0,1,0,0,0,0,0,immigration
2146,A total failure by the Home Office. The Tories have failed on immigration year after year. How much longer will we allow it to go on? ,conclusion,1,1,0,0,0,0,0,0,0,0,immigration
2147,Are you proud of how our veterans and elderly are being treated @sajidjavid or do they not matter? Will pension ages be extended further to accommodate this? Will they be Christian refugees that are being slaughtered across the world?,conclusion,0,0,0,0,0,0,0,1,1,0,immigration
2148,"74 people in one day - This is dangerous. How many people will die at sea, how many people will be trafficked, how many genuine refugees will be made to wait even longer by those that game the system?",none,1,0,0,0,0,1,0,0,0,0,immigration
2149,"The UK Government missed their net migration target this year. The 37th year in a row they've missed their own target. Brexit was a movement for a British Britain, not a Britain packed to the rafters with immigrants who do not share our British values.",conclusion,0,1,0,0,0,0,0,0,1,0,immigration
2150,"Re-wilding a quarter of the UK is a lovely idea, but it isn't going happen now that England is as densely populated as India, and the UK has net legal immigration of 300,000 per year + unknown illegal immigration.",none,0,0,0,0,0,0,0,0,0,1,immigration
2151,"As of Monday, all ""landing cards"" for overseas visitors will be scrapped. Immigration Service Union general secretary, Lucy Moreton, was told that a digital replacement would be in place... the Home Office lied to her. The government DOES NOT take immigration seriously. #VoteUKIP",none,0,1,0,0,0,0,0,0,0,0,immigration
2152,"Momentum calls for ""all migrant detention centres to be abolished."" Corbyn's frontliners are for open borders. Will Corbyn say no? Or will he go along with whoever can keep him in his job?",none,0,0,0,0,0,1,0,0,0,0,immigration
2154,EU PLOT: Verhofstadt admits plan to scrap veto and FORCE EU project on member states,none,0,0,0,0,0,1,0,0,0,0,immigration
2155, ,premise,0,0,0,0,0,0,0,0,1,0,immigration
2156,UKIP Immigration Spokesman @PaulJamesOakley debates voting rights for all UK residents.WATCH:,none,0,0,0,0,0,0,0,0,0,1,immigration
2157,My 5 point plan for #NewportWest:- MAKE #Brexit happen- STOP mass immigration- BIN the BBC license fee- SCRAP the Welsh Assembly- CUT food & fuel prices Send the political elites a message this Thursday. #VoteUKIP,premise,0,0,0,0,0,0,0,0,0,1,immigration
2158,".@NeilUKIP, UKIP's 2019 Newport West by-election candidate debates a @LibDems voter on #Brexit and immigration. #VoteUKIP @UKIPWales",none,0,0,0,0,0,0,0,0,0,1,immigration
2159,.@LordAshcroft says the most electorally popular party would be one which:...Reduces immigration...Tougher on law and order...Slashes the foreign aid budget...Delivers real Brexit...Believes threat of climate change is exaggeratedIt's called UKIP.,conclusion,0,1,0,0,0,0,0,0,0,0,immigration
2160,"Labour want to keep freedom of movement to the UK. This will result in low-skilled migrants flooding into the country, keeping wages low & allowing companies to access cheap foreign workers. They should be renamed the #CheapLabourParty.",none,0,1,0,0,0,0,0,0,0,0,immigration
2161,"HAVE YOU GOT A LOICENCE FOR THAT...Wait, illegal immigrants? Please welcome!",premise,0,0,0,0,0,0,0,0,1,0,immigration
2162,Labour councils are refusing to co-operate with the Home Office over illegal immigration. They wouldn't want to lose all those potential voters after all . . .,conclusion,0,0,0,0,0,1,0,0,0,0,immigration
2163,This girl left the UK to join ISIS and says she doesn't regret doing so. Now she wants to come back - absolutely unbelievable. She has committed treason. We must protect this country & our people. We must not welcome back terrorists under any circumstances,premise,0,0,0,0,0,0,0,1,0,0,immigration
2164,"EXCLUSIVE: UKIP Immigration Spokesman @PaulJamesOakley Condemns ""Blatant Cruelty"" Of Latest Deportations To Jamaica Of British Residents via @Politicalite",none,0,0,0,0,0,0,0,0,0,1,immigration
2165,Common sense prevails. A bad day for people smugglers.,premise,0,0,0,0,0,0,0,0,0,1,immigration
2166,"This man paid people smugglers €16,000 and refused asylum from every country in Europe except the U.K. We should be asking ourselves why. We should also be asking ourselves why this is being couched in such favourable terms in the media.",premise,0,0,0,0,0,1,0,0,0,0,immigration
2167,We'll sign the nation up for mass immigration without consultation then refuse to debate because we've already signed it...Know your place peasants!,premise,0,0,0,0,0,1,0,0,0,0,immigration
2169,"So is the UK going to stand up for an actual, legitimate refugee in her hour of need or abandon her like they did Asia Bibi because it might upset some Muslims?Asia Bibi, a Christian Pakistani refugee, is still in Pakistan under threat of being killed by Islamists.",none,0,0,0,0,0,0,0,1,1,0,immigration
2170,"Jeremy Hunt et al will wring their hands over the persecution of Christians and promise to 'conduct a review', however, when clear leadership and action are required.....nothing. #AsiaBibi",none,0,1,0,0,0,0,0,0,0,0,immigration
2172,The Conservatives missed 37 immigration targets in a row and won't even set a new one. Time for real action on this issue.,conclusion,0,1,0,0,0,0,0,0,0,0,immigration
2174,"The Labour Party has just announced it will throw open our borders to the worldNo immigration targets, no points-based system, but a red carpet to anybody, anywhere to come to the UKNever has a political party been so out of touch with the public",premise,0,1,0,0,0,0,0,0,1,0,immigration
2175,Labour now officially the party of open door mass migration without control. Old Labour voters will be appalled by this.,premise,0,0,0,1,0,0,0,0,0,0,immigration
2176,"Boris Johnson is saying what the audience wants to hear in order to get elected. Nobody knows where he really stands on HS2, Heathrow expansion and immigration let alone Brexit.",premise,0,1,0,0,0,0,0,0,0,0,immigration
2177,Has Bojo lost his mojo when it comes to addressing mass immigration? His Points Based System will not tackle it. @borisjohnson @jeremy_hunt @ConHome @Nigel_Farage. See thread below.,none,0,1,0,0,0,0,0,0,0,0,immigration
2178,An Australian-style points system can be used to be increase or decrease immigration numbers. Does @BorisJohnson want to reduce the numbers? I don't think so.,premise,0,1,0,0,0,0,0,0,0,0,immigration
2179,"In this video, Theresa May says that she agrees with Labour on ending free movement. Lies, lies, lies. As Home Sec she failed to control immigration, and she has failed again as PM.As for Labour, May should ask Diane Abbott where she stands on freedom of movement.",none,0,1,0,0,1,1,0,0,0,0,immigration
2180,"About time UK Government spoke up for Christians being persecuted, when I suggested we should accept some refugees I was told that religion was the wrong issue to decide this. It is not and never has been.",premise,0,0,0,0,0,0,0,0,1,0,immigration
2184,How many hundreds of illegal migrants are coming in that we don't know about? These are just the ones that got caught.,conclusion,1,0,0,0,0,0,0,0,0,0,immigration
2185,"""If you are a genuine asylum seeker why have you not sought asylum in the first safe country that you arrived in?"" Home Secretary Sajid Javid questions whether migrants making risky journeys across the English Channel are genuine asylum seekers",conclusion,0,0,0,0,0,1,0,0,0,0,immigration
2186,The Brexit Party will reduce annual immigration and address wage stagnation and the skills gap by introducing a fair points-based system that is blind to ethnic origin.Read and sign our Contract with The People here: #ITVLeadersDebate #ITVDebatea,none,0,0,0,0,0,0,0,0,1,0,immigration
2187,"Sadhana Stokes was 9-years-old when she came to Britain as a refugee. Sadhana is standing as The Brexit Party PPC for Charnwood because she finds herself, once again, under the threat of losing democracy.This is Sadhana's story ¸",premise,0,0,0,0,0,0,0,1,1,0,immigration
2189,Devastating critique of Govts immigration plans by highly respected Lord Green of Migration Watch. More Brexit Betryal by this Remain Govt. Immigration will rise not fall & low paid British workers will see no real wage growth.,premise,1,1,0,0,0,0,0,0,0,0,immigration
2190,.@UKIP has abandoned the Australian-style points system for immigration. It is not tough enough. The UK needs time-limited work visas for scarce skills while we train our own young people to fill the skills gaps created under Blair/Brown/Cameron/May.,none,0,0,0,0,0,0,0,0,1,0,immigration
2192,"Uncontrolled, mass immigration puts too much pressure on the NHS. Protecting the health service means reining in rapid UK population growth with a large cut in immigration #GeneralElection19",conclusion,0,0,0,0,0,0,0,0,1,0,immigration
2196,I can also confirm that @DHSCgovuk & NHS are doing everything we can to provide support to refugees arriving in the UK. /3,none,0,0,0,0,0,0,0,1,0,0,immigration
2197,"We are a generous, welcoming country with a strong sense of fairness. But too many people exploit our goodwill. We need more tools to tackle illegal entry, punish people smugglers & to support those that genuinely need protection. I welcome the new immigration plans.",none,0,0,0,0,0,0,0,0,1,0,immigration
2200,Today I will hold an emergency @G7 meeting to coordinate our response to the crisis in Afghanistan.I will ask our friends and allies to stand by the Afghan people and step up support for refugees and humanitarian aid.,none,0,0,0,0,0,0,0,1,0,0,immigration
2201,"Today we take a positive step forward in our commitment to tackle illegal entry, punish people smugglers and safeguard those who are in genuine need of refuge. This is our fair but firm New Plan for Immigration",none,0,0,0,0,0,0,0,1,1,0,immigration
2204,Our landmark #BordersBill passed by MPs yesterday will bring about the fundamental change needed to control illegal migration.I won't be deterred from doing what is right by the British people ' From my speech '''#NewPlanForImmigration,none,0,0,0,0,1,0,0,0,1,0,immigration
2205,"I'm delighted that the #BordersBill, which will break the deadly business model of the people-smugglers, has passed in the House of Commons just now.It will deliver a new, firm but fair asylum system to deter illegal migration.#NewPlanForImmigration'",none,0,0,0,0,0,0,0,0,1,0,immigration
2207,"€¦ The #BordersBill in the @HouseofCommons today will create a faster and fairer asylum system that supports the most vulnerable in genuine need "" not the people smugglers.#NewPlanForImmigration'",none,0,0,0,0,0,0,0,1,1,0,immigration
2208,We're taking action to deter dangerous & illegal migration with our #BordersBill: Breaking the people-smugglers' deadly business model.' Supporting those in genuine need via safe & legal routes.'€º€ Making it easier to remove illegal arrivals with no right to be here.''',premise,0,0,0,0,0,0,0,1,1,0,immigration
2210,"The Borders Bill will improve access to legal advice and require all reasons for asylum and protection to be put forward for consideration in one go, putting a stop the repeated claims. #NewPlanForImmigration '""",none,0,0,0,0,0,0,0,1,1,0,immigration
2223,Our firm but fair Borders Bill is back in the Commons today. It will help minimise delays in our immigration system by preventing repeated appeals in cases the courts have ruled to be without merit.,none,0,0,0,0,0,0,0,0,1,0,immigration
2224,"Our landmark Borders Bill will make illegal migration no longer worth the risk. As it makes its way through Parliament, we're looking at every option to stop people dying at the hands of the people smugglers.",conclusion,0,0,0,0,0,0,1,0,0,0,immigration
2225,We're ending the use of insecure ID cards for entry into the UK to strengthen our border and deliver on the people's priority to take back control of our immigration system.Firm on those who seek to abuse the system.Fair on those who play by the rules.#NewPlanForImmigration,premise,0,0,0,0,0,0,0,0,1,0,immigration
2228,"This week we have been hosting an important summit at an historic location, as we look to tackle terrorism, illegal migration and online sexual abuse with our international partners.#G7UK",none,0,0,0,0,0,0,0,1,0,0,immigration
2232,"Our teams have been working round the clock to bring vulnerable Afghans to safety. This week we've:"",Accelerated the application process by deploying Border Force officers to Afghanistan."",Announced a new safe & legal route for Afghan refugees that puts women & children 1st.",none,0,0,0,0,0,0,0,1,0,0,immigration
2233,We will not abandon people who have been forced to flee their homes and are now living in terror of what might come next.The Afghan citizens' resettlement scheme will save lives. ''€°',none,0,0,0,0,0,0,0,1,0,0,immigration
2237,Around half of refugees resettled through government-backed schemes have been children. Global Britain will continue to show global leadership in welcoming those most in need. #BordersBill,none,0,0,0,0,0,0,0,1,0,0,immigration
2238,"Access to the UK's asylum system should be based on need, not the ability to pay people smugglers.That's why I'm introducing the Borders Bill to Parliament today.We're creating a fairer system for those in genuine need & for British taxpayers '''",none,0,0,0,0,0,0,0,0,1,0,immigration
2239,"Tomorrow our landmark Borders Bill will be introduced to Parliament, setting out an asylum system based on genuine need that is fair, but firm.Learn more about why we need a #NewPlanForImmigration ",none,0,0,0,0,0,0,0,0,1,0,immigration
2240,Today we're introducing the landmark into Parliament.We're taking action to deter dangerous and illegal migration to the UK and create a new asylum system that's fair for those in genuine need.Firm but fair. #NewPlanForImmigration',premise,0,0,0,0,0,0,0,1,1,0,immigration
2241,Enough is enough.Next week we'll introduce the Borders Bill to go after these gangs exploiting people & deter illegal entry with tougher criminal offences for those attempting to enter the UK illegally.Part of our firm but fair #NewPlanForImmigration',none,0,0,0,0,0,0,0,0,1,0,immigration
2242,The new Graduate Immigration route I've launched today will keep the best and brightest international talent contributing to the UK.This is part of our new points-based immigration system retaining people based on the skills they can offer to the UK.,none,0,0,0,0,0,0,0,0,1,0,immigration
2245,€ Helping refugees whose lives are in danger.€ Making sure they properly integrate into our society.€ Ending illegal migration to the UK.This is the #NewPlanForImmigration' #RefugeeWeek,none,0,0,0,0,0,0,0,1,0,0,immigration
2248,These are the dangerous conditions that criminal gangs are using to facilitate illegal immigration. The man responsible has been sentenced to 2 years and 7 months.Our #NewPlanForImmigration will break the business model of people smuggling networks and save lives.,premise,0,0,0,0,0,1,0,0,0,0,immigration
2249,"Next month, the Borders Bill enters Parliament. We must act now to stop illegal migration. We must break the cruel business of the gangs who treat people like commodities. This is what the #NewPlanForImmigration will deliver.",premise,0,0,0,0,0,1,0,0,0,0,immigration
2250,We're going after the people-smuggling gangs at the source.To stop them exploiting vulnerable people. To stop them facilitating illegal migration to the UK'''#NewPlanforImmigration',premise,0,0,0,0,0,1,0,1,0,0,immigration
2251,"This week I officially opened the @UKHomeOffice-funded Ghana Immigration Taskforce Office. Enabling us to tackle organised immigration crime at source in Ghana, combat document fraud & see perpetrators of immigration crime exploiting vulnerable people brought to justice.' ''­",none,0,0,0,0,0,1,0,1,0,0,immigration
2260,"People smugglers are ruthless, treating migrants as a commodity and they do not care about the safety of those they transport.Working with partners we are determined to do all we can to disrupt and dismantle the organised criminal groups involved.",none,0,0,0,0,0,1,0,1,0,0,immigration
2262,Criminal people-smuggling gangs are putting lives at risk via dangerous and illegal crossings.Enough is enough.Our New Plan for Immigration will break their business model and toughen sentences for arranging illegal entry to the UK.''',premise,0,0,0,0,0,0,0,1,0,0,immigration
2263,"€ Nearly 9,000 more police € New points-based immigration system€ New migration deal with India€ The Domestic Abuse Act€ The Domestic Abuse Codeword Scheme€ 160k VAWG responses€ New Plan for Immigration launched' The people's priorities '''",premise,0,0,0,0,0,0,0,1,0,0,immigration
2264,"''® Nearly 9,000 more police officers.'€º€ New points-based immigration system.' New migration deal with India. ,The Domestic Abuse Act.' The Domestic Abuse Codeword Scheme.€ 160k VAWG responses.' New Plan for Immigration launched.We're delivering for the ' public.",premise,0,0,0,0,0,0,0,1,0,0,immigration
2265,I'm continuing to remove these appalling criminals from our country.And our New Plan for Immigration will make it easier for us to deport foreign criminals who have no right to be here so that we can keep people safe.,premise,0,0,0,0,0,0,0,1,0,0,immigration
2266,"A people smuggling gang 'ringleader' has been jailed for eight-and-a-half years thanks to the work of Immigration Enforcement. We're committed to bringing the ruthless criminal gangs exploiting migrants to justice '""",none,0,0,0,0,0,1,0,0,0,0,immigration
2267,"Since the start of the year, we've deported more than 600 foreign criminals. Our New Plan for Immigration will make it easier to deport foreign criminals who have no right to be in the UK and keep our citizens safe.",conclusion,0,0,0,0,0,0,0,1,0,0,immigration
2271,"Today I've signed a ground-breaking new agreement with India to deliver a fair but firm New Plan for Immigration. It will:'""'Attract the best & brightest talent to the UK via our new points-based immigration system.¡,Increase and speed up removals of illegal migrants.' '®'",none,0,0,0,0,0,0,0,0,1,0,immigration
2272,The UK's outdated asylum system is being exploited by people smugglers.Our New Plan for Immigration will stop this abuse.Take our survey today:,none,0,0,0,0,0,1,0,0,0,0,immigration
